date,CD,C,S,ATW,ES,PA,SB,PL,GC,CL,AD,TU
2000-06-28,0.0,0.0075016,-0.0016236,0.0,-0.0018696,0.0,0.0062016,0.0121992,0.0,-0.0029904,0.0,0.0
2000-06-29,0.0,-0.00487,-0.0060304,0.0,-0.000268,0.0,0.0112024,-0.0030244,0.0,0.0077548,0.0,0.0
2000-06-30,0.0,0.0147916,0.0119472,0.0,-0.0001004,0.0,-0.0174044,-0.0102752,0.0,-0.0015388,0.0,0.0
2000-07-03,0.0,0.0117582,0.0026902,0.0,0.0027618,0.0,0.0,0.0,0.0,0.0,-0.000732,0.0
2000-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-07-05,0.0010052,-0.0034824,-0.0008316,0.0,-0.0031308,0.0,0.0121362,-0.018742,0.0,-0.022389,0.0034166,0.0
2000-07-06,-0.000444,0.0105084,0.0144888,0.0,0.0013716,0.0050182,0.0139704,0.0090084,0.000481,-0.0071442,-0.000405,0.0
2000-07-07,-0.0004726,-0.0049266,-0.010116,0.0,-0.0023532,0.0069746,-0.008343,0.0022616,0.0,0.0030414,-0.0001686,0.0
2000-07-10,-0.0002948,0.009894,0.0021984,0.0,-0.0001976,0.002744,-0.0035106,0.0026578,-0.0002062,-0.0063168,-0.0004374,0.0
2000-07-11,-0.0001178,0.0057282,0.0120768,0.0,0.0002964,0.00058,0.0118542,0.0003444,0.0011026,0.0076158,0.0016538,0.0
2000-07-12,0.0009726,-0.0021546,-0.0076554,0.0,-0.0020314,-0.006945,0.0210312,0.004344,0.001387,0.0098646,-0.0003048,0.0
2000-07-13,0.0002652,-0.0014322,0.0038154,0.0,0.000163,0.0038634,0.002661,0.0022274,0.0010446,0.0117942,0.0011198,0.0
2000-07-14,0.0007974,0.0100962,0.008028,0.0,-0.001236,0.0147282,0.001326,0.0053712,-0.0020874,-0.0002088,0.0003066,0.0
2000-07-17,-0.0007086,0.0095298,0.0068274,0.0,0.001035,0.0185832,0.0278214,0.0160122,-0.0051876,-0.0100986,-0.0041736,0.0
2000-07-18,-0.0023856,-0.0036834,-0.00456,0.0,-0.0020752,0.0077856,0.02112,-0.0033186,0.002277,0.0142566,0.0065274,0.0
2000-07-19,-8.82e-05,-0.0029304,-0.0061338,0.0,-0.0014394,-0.003144,-0.0036732,-0.0007518,0.0073032,-0.0012444,0.0021998,0.0
2000-07-20,-0.0007926,-0.0130128,-0.0076596,0.0,0.001309,0.0178884,0.0145608,0.0142332,-0.0004892,-0.0079416,-0.0076236,0.0
2000-07-21,-0.000528,-0.005694,-0.0094392,0.0,-0.0027586,0.0236394,0.0041814,-0.0014712,-0.0004188,-0.0157734,-0.0029616,0.0
2000-07-24,-0.0029832,0.0100002,0.006276,0.0,-0.0007288,-0.0019248,-0.0120246,-0.0056028,0.0025164,-0.0102378,0.0018366,0.0
2000-07-25,0.0003212,0.0050634,0.0088986,0.0,6.64e-05,0.0004326,0.010236,-0.0083424,0.0,-0.0005132,-0.0008166,0.0
2000-07-26,-0.0002044,0.0065736,-0.0006402,0.0,0.0021012,0.0,0.0112374,-0.0007542,-0.00084,-0.000294,-0.0059904,0.0
2000-07-27,0.0028092,-0.0007338,-0.0057294,0.0,0.0012782,-0.001575,0.01218,-0.0021606,0.002313,0.001684,0.0042582,0.0
2000-07-28,0.0006462,0.0014688,0.0076518,0.0,0.004263,0.0086106,0.0051456,0.0020526,0.0012654,0.0008004,-0.0012198,0.0
2000-07-31,0.0013878,0.0,0.0025722,0.0,0.0,0.0346902,-0.0249918,0.0141762,0.0020958,-0.0039606,0.0088998,0.0
2000-08-01,0.0008898,0.0007356,0.005178,0.0,-0.0019092,0.0152454,-0.001188,0.0107526,0.0,0.0018434,0.0011346,0.0
2000-08-02,-0.0033732,-0.0022044,-0.0067872,0.0,0.0,0.0086268,0.0221814,0.0125934,0.00063,0.0015354,-0.004116,0.0
2000-08-03,0.0015954,0.0014688,0.0058128,0.0,0.0,-0.045417,0.0152766,-0.0258792,0.0069756,0.0014514,-0.0023538,0.0
2000-08-04,0.0015416,0.0036876,0.0026016,0.0,-0.0023544,-0.0079218,-0.01356,-0.0045392,0.0012776,0.0061938,0.0007496,0.0008952
2000-08-07,-0.0011574,0.0029664,0.0035958,0.0,0.0,-0.0335502,-0.0162174,-0.0061816,-0.0007104,-0.0041794,-0.001498,-0.000471
2000-08-08,0.0004446,-0.0051822,-0.0084648,0.0,0.0006612,0.0267702,0.0104754,0.0102972,0.000568,0.0014976,0.0029336,0.0003768
2000-08-09,-0.0013032,0.0036966,0.0019428,0.0,-0.0028504,0.010926,-0.0052152,-0.0037592,0.0019952,0.0058118,0.0029552,-0.000141
2000-08-10,-0.0007092,0.001485,-0.0061308,0.0,0.0,0.0043836,-0.0087936,0.0067132,-0.0002142,0.0049082,-0.0036102,0.0002826
2000-08-11,0.0001772,0.0074814,-0.0063864,0.0,0.0,-0.0037338,0.0070452,-0.01094,-0.0057558,-0.0056832,0.0024732,-0.0008952
2000-08-14,0.000828,-0.0022542,-0.0044304,0.0,0.0,-0.0318228,0.0063864,-0.0010096,0.0014868,0.008304,-0.0014432,4.74e-05
2000-08-15,-8.88e-05,0.0,-0.0022032,0.0,0.0,0.0208908,-0.004638,0.0058772,0.0,-0.0012088,-0.0010276,-0.0004242
2000-08-16,-0.003012,-0.0089334,-0.009351,0.0,0.0,-0.009279,0.0034818,-0.0008548,-0.0039508,0.001008,-0.005234,0.0
2000-08-17,-0.001236,0.0007392,0.002281,0.0,0.000992,-0.0119772,-0.0081552,-0.0038688,-0.0006312,0.0038752,-0.0011464,0.0001416
2000-08-18,0.000147,0.0037104,0.0009406,0.0,0.0028304,-0.0073518,0.0081552,-0.0020208,0.0018966,0.0050216,0.0,0.0004242
2000-08-21,-0.000265,0.002985,-0.0020844,0.0,0.0001312,0.0067428,0.0011562,0.0048904,0.0035988,0.0031392,0.0,-9.42e-05
2000-08-22,0.0001178,0.0022488,0.0017704,0.0,0.001636,-0.0041592,-0.0058026,-0.0016476,0.0036204,-0.005114,0.0058068,0.0001884
2000-08-23,-0.001418,0.0015036,-0.0006266,0.0,0.0007176,-0.0022358,-0.0094026,-0.0006464,0.0055794,0.0086164,0.0065912,0.000612
2000-08-24,0.0,-0.0022542,-0.0007286,0.0,-0.0002608,-0.0074946,-0.0065508,0.0017932,-0.0038682,-0.0057236,-0.000978,0.0003294
2000-08-25,0.0,-0.0022458,0.0,0.0,0.0003912,0.0028842,0.0240618,0.0072558,-0.0023514,0.0016996,-0.0009756,0.0
2000-08-28,0.0,-0.0088998,-0.0039096,0.0,0.0018856,-0.0026444,-0.0005754,0.0041504,0.0002136,0.0085192,0.001954,-0.0002352
2000-08-29,0.0,-0.0131076,-0.0058238,0.0,-0.0007792,0.001683,-0.0017298,0.005076,0.0021384,-0.0014072,0.0007704,-0.0004236
2000-08-30,0.0,0.0072462,0.000992,0.0,-0.003066,-0.002233,0.0034548,-0.0013844,-0.0014976,0.0077424,-0.0032112,0.000141
2000-08-31,-0.0013528,-0.0021752,-0.0048148,0.0,0.0044932,0.0016036,-0.0075108,-0.0029228,-0.0082758,-0.0030284,-0.0018728,0.0010818
2000-09-01,0.0,0.0016898,0.0005834,0.0,0.0003884,0.0022154,0.0126564,0.007336,0.0025344,0.0026512,0.0,0.0
2000-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,0.0,-0.0036038,-0.0035706,0.0,-0.0028568,-0.0011256,-0.0067542,0.0067996,0.0025452,0.00649,0.0,0.0
2000-09-06,0.0,0.0040892,0.006909,0.0,-0.0046532,0.0053212,0.0,0.0065532,0.0038382,0.01111,0.0,0.0
2000-09-07,0.0,0.0004866,0.00199,0.0,0.0032824,0.006225,0.0174096,-0.0027284,0.0002142,0.009675,0.0044796,0.0
2000-09-08,0.0,-0.0021806,-0.0057174,0.0,-0.0026896,-0.0017968,-0.0011448,0.0040926,0.001929,-0.029505,0.0015044,0.0
2000-09-11,0.0,0.0,-0.0001942,0.0,0.0,-0.000758,-0.0042472,-0.003464,0.0,0.0255822,-0.0030032,0.0
2000-09-12,0.0,0.001451,-9.7e-05,0.0,0.0,0.0037612,0.002135,-0.0017082,0.0004296,-0.0119244,0.001642,0.0
2000-09-13,0.0,0.002442,0.0024408,0.0,0.0,-0.0060792,0.0013468,-0.0062204,0.0002148,-0.0125388,0.0021516,0.0
2000-09-14,0.0,0.0017274,0.0028692,0.0,0.0,-0.018267,-0.0032866,-0.0089592,0.0010752,0.0066708,0.0039752,0.0
2000-09-15,0.0,0.0059778,0.0032146,0.0,0.0,0.0007626,-0.009992,0.005632,0.0004308,0.0270234,0.0030624,0.0
2000-09-18,0.0,-0.0044886,-0.0020152,0.0,0.0,-0.003209,-0.002556,0.0012256,0.0019422,0.0125514,0.0029384,0.0
2000-09-19,0.0,0.0059928,0.0019138,0.0,-0.0016084,0.0030706,0.001495,-0.0014304,-0.00108,-0.0097392,-0.000884,0.0
2000-09-20,-0.0006504,-0.0007514,-0.0015124,0.0,0.0040336,-0.0013202,-0.007589,-0.0023268,0.0065076,0.0022752,0.0065466,0.0
2000-09-21,0.0009464,-0.00597,-0.0016008,0.0,-0.003498,0.002838,-0.0042436,-0.0035156,-0.0021768,-0.0166482,-0.004438,0.0
2000-09-22,0.0005924,-0.0034356,-0.0018844,0.0,0.0064824,0.002866,0.0044644,0.0,-0.0034668,-0.0208302,0.0,0.0
2000-09-25,-0.000474,0.0021936,0.0010888,0.0,-0.0056776,-0.005983,0.0017582,0.0,-0.0047346,-0.0173544,-0.004462,0.0
2000-09-26,0.0001184,-0.0012172,0.0,0.0,0.0069048,0.000488,-0.0033096,0.0,-0.0002142,0.0003828,-0.0002908,0.0
2000-09-27,0.0024964,0.0,-0.0010888,0.0,-0.0010912,-0.0004182,0.0002224,0.0001444,-0.009144,0.0003822,-0.0012336,0.0
2000-09-28,0.0010148,-0.0016918,-0.0007882,0.0,-0.0079556,-0.0023868,-0.000445,0.0018004,0.0057252,-0.0204132,0.00218,0.0
2000-09-29,0.0009576,-0.0014388,0.0029718,0.0,0.0032172,0.0018698,-0.0013408,7.2e-05,0.0014256,0.0072726,0.0041748,0.0
2000-10-02,0.0012,-0.0016656,0.0003996,0.0,0.0022268,0.0006008,0.0056276,-0.0052788,0.0004296,0.0073526,-0.0026416,0.0
2000-10-03,-0.0010204,-0.0039884,0.0002002,0.0,0.0040128,0.0030458,0.0020702,0.0008724,0.0032346,-0.0001256,0.0048564,0.0
2000-10-04,-0.0022712,-0.0006956,0.0010036,0.0,-0.0023852,0.0017374,0.004972,0.0009432,0.0034692,-0.0077352,0.0018552,0.0
2000-10-05,0.0,0.000928,0.0006046,0.0,-0.0008824,0.0079968,-0.0002234,0.0059696,-0.000435,-0.0135972,0.0014904,0.0
2000-10-06,0.0017324,0.0,-0.0003024,0.0,0.0074588,-0.0025458,0.0015582,0.0003568,0.002832,0.0048168,0.0008968,0.0
2000-10-09,0.0,0.0018692,0.0024252,0.0,0.002842,-0.0032076,0.0056834,0.0010684,-0.0017442,0.0119832,0.0,0.0
